empresa,titulo,link,data_abertura,data_fechamento
Raízen,Agente Controle Empresarial - Afirmativa PCD,https://genteraizen.gupy.io/jobs/9238867?jobBoardSource=gupy_public_page,2025-07-04,2025-07-05
Raízen,Agente Controle Empresarial,https://genteraizen.gupy.io/jobs/9148552?jobBoardSource=gupy_public_page,2025-07-04,2025-07-05
Raízen,Advogado(a) Júnior - Trabalhista,https://genteraizen.gupy.io/jobs/9214495?jobBoardSource=gupy_public_page,2025-07-04,2025-07-05
Itaú,Product Design Pleno - Exclusivo para profissionais com deficiência,https://vemproitau.gupy.io/jobs/9470643?jobBoardSource=gupy_public_page,2025-07-05,
Boticário,Analista de BI & Insights III,https://grupoboticario.gupy.io/jobs/9237190?jobBoardSource=gupy_public_page,2025-07-07,2025-07-12
Localiza,ANALISTA DE DADOS JR | BELO HORIZONTE/MG,https://localiza.gupy.io/jobs/9205497?jobBoardSource=gupy_public_page,2025-07-08,
Boticário,Group Product Manager II (Backoffice Franqueado) - Afirmativa para Mulheres (Cis e Trans),https://grupoboticario.gupy.io/jobs/9485002?jobBoardSource=gupy_public_page,2025-07-08,
Boticário,Associate Product Manager II (APM) - Squad Institucional - (Vaga Temporária),https://grupoboticario.gupy.io/jobs/9491610?jobBoardSource=gupy_public_page,2025-07-09,
Boticário,Analista III Produto Inovação Infantil,https://grupoboticario.gupy.io/jobs/9470754?jobBoardSource=gupy_public_page,2025-07-10,
Boticário,Associate Product Manager III (E-commerce),https://grupoboticario.gupy.io/jobs/9471503?jobBoardSource=gupy_public_page,2025-07-10,2025-07-14
C&A,Líder de Produtos Financeiros (Foz do Iguaçu),https://cea.gupy.io/jobs/9496526?jobBoardSource=gupy_public_page,2025-07-10,
OLX,Sr. Group Product Manager,https://vemsergrupoolx.gupy.io/jobs/9194615?jobBoardSource=gupy_public_page,2025-07-10,
Raízen,Analista de Dados Sênior - SSMA,https://genteraizen.gupy.io/jobs/9456654?jobBoardSource=gupy_public_page,2025-07-11,
Boticário,Product Designer Especialista I - Consumidor - Afirmativa para pessoas negras,https://grupoboticario.gupy.io/jobs/9365625?jobBoardSource=gupy_public_page,2025-07-11,
